"","A01.SEC.wasp","A11.HYB.ctrl","A03.SEC.ctrl","A05.SIM.wasp","A07.SIM.ctrl","A09.HYB.wasp","B01.SEC.wasp","B11.HYB.ctrl","B03.SEC.ctrl","B05.SIM.wasp","B07.SIM.ctrl","B09.HYB.wasp","D01.SEC.wasp","D11.HYB.ctrl","D03.SEC.ctrl","D05.SIM.wasp","D07.SIM.ctrl","D09.HYB.wasp"
"ELOVL",1.559484,0,1.659819,0.172343,5.091822,0,1.218546,0.1205954,0.2936587,0.1753538,47.48782,3.462183,0.8260903,0.1367392,0,0.1587181,0.1361281,0.4403491
"Elp1",166.241,166.9172,177.6006,154.4194,181.6083,119.1426,147.2917,121.1984,108.8005,118.0131,213.6952,125.5041,139.0192,128.8084,146.0147,116.9752,172.0659,126.3802
"Elp3",99.02723,106.118,106.6811,111.6783,125.9069,102.6506,87.8876,104.7974,97.34784,120.8188,101.2793,99.97054,93.23019,96.40116,77.54358,113.166,115.9811,101.5739
"Elys",104.6414,121.4861,128.5605,98.58022,118.192,70.43746,87.58296,78.14581,43.31465,74.87606,169.1491,69.67644,83.31711,98.04203,113.8333,72.69289,129.0494,68.25411
"ema",174.1944,116.5504,137.1614,118.572,58.7874,151.5099,156.1262,94.42619,112.4713,107.4919,95.39589,130.1204,179.7337,100.0931,158.1684,107.1347,74.05366,133.279
"emb",296.6138,268.5482,282.7727,236.11,210.3077,210.6958,248.7356,171.0043,132.4401,190.6096,304.0481,199.9411,238.5041,224.3891,265.8392,172.0504,219.4384,216.6518
"emc",39.61089,50.81551,37.87404,35.84735,34.40837,36.99122,36.40405,49.8059,34.21123,36.64894,28.78686,35.92015,42.83868,71.7881,46.90274,38.88593,34.16814,48.14483
"EMC1",189.3213,187.6696,182.2783,272.819,182.0712,182.49,180.4971,134.8256,106.4513,229.1874,237.6492,165.752,169.9386,179.6754,199.5934,221.8879,243.2608,184.0659
"EMC10",67.83755,59.78955,66.39275,62.21584,62.33624,88.77894,73.56969,81.0401,119.0786,83.8191,53.79151,76.31229,71.51582,69.87375,72.7506,73.80392,63.84406,81.46458
"EMC3",36.95977,43.29975,36.21423,71.17768,62.79914,59.80248,42.34446,58.00638,58.5849,95.39245,51.90041,50.63443,39.77035,43.2096,37.31678,87.45367,65.06921,58.71321
