"","A10.HYB.wasp","A12.HYB.ctrl","A02.SEC.wasp","A04.SEC.ctrl","A06.SIM.wasp","A08.SIM.ctrl","B10.HYB.wasp","B12.HYB.ctrl","B02.SEC.wasp","B04.SEC.ctrl","B06.SIM.wasp","B08.SIM.ctrl","C01.SEC.wasp","C10.HYB.wasp","C11.HYB.ctrl","C12.HYB.ctrl","C02.SEC.wasp","C03.SEC.ctrl","C04.SEC.ctrl","C05.SIM.wasp","C06.SIM.wasp","C07.SIM.ctrl","C08.SIM.ctrl","C09.HYB.wasp","D10.HYB.wasp","D12.HYB.ctrl","D02.SEC.wasp","D04.SEC.ctrl","D06.SIM.wasp","D08.SIM.ctrl"
"Atf-2",5.26047343032287,4.4960493521165,2.194613411514,4.17223664760052,6.83239397731716,8.05369242349333,6.32889272629716,2.71358974257822,2.65156513535316,1.18334550501721,9.44528992955122,7.68388433106252,3.02715796237847,5.55813142820631,2.48167498473047,5.35564849132383,2.39792696259098,2.04060192354128,2.02104049217361,8.41265089521178,7.21257595447913,7.9949067645264,4.66979026749703,3.65592601442815,4.47188346362406,4.13727814732481,1.21738809088325,1.74129022266869,9.48069187750429,7.58941667219321
"Atf3",7.69825380047249,8.26692945389163,17.0948834160038,9.97708763556646,10.6865649388807,4.63363125735233,4.00829872665487,7.62389499105311,28.4306706179534,22.3759877312345,13.3005103089599,10.7901354436197,21.4143396597884,14.8216838085502,7.07277370648185,7.83753437754706,20.4303377212752,20.1509439949701,8.39509127518271,10.2821288719255,11.4036673874873,6.25688355484675,8.1721329681198,8.92726119802223,11.5652158542002,12.6971639693761,21.9129856358985,9.09340449615873,5.57687757500252,8.26403148749927
"Atf6",60.9445092537405,52.0671521745105,33.0347071417371,35.3733107079174,58.1629436017769,65.2018112641721,60.5464070815762,60.9911599284249,34.6176559337774,26.2487548385635,67.8518786775924,71.4437755888153,39.6894043956288,60.7424363225404,69.4868995724533,68.5784258035368,25.801694117479,37.6235979652923,40.4208098434723,73.6885902487995,57.3107386653206,76.9364940818193,69.1712683372997,62.0657207100593,53.9710073196007,64.1991436653849,29.7390519344336,30.7627939338136,64.6917798700293,74.2076296836669
"Atg13",19.1173302711733,21.9001113603094,22.7546758983294,24.4892151054813,16.643010970388,16.4383585082261,15.4003056339898,18.8659096388772,22.3909944763156,23.1290257798818,19.4688629160137,18.3105328740213,24.6657315453061,19.0564506109931,24.1963311011221,25.471986727028,17.6487424446696,24.359685462274,35.9123348993927,21.4989967322079,17.7390381583135,15.0628678172237,15.4686802610839,22.3606637626652,27.9107209281364,20.686390736624,20.5216849606033,22.8302495861006,17.0094766037577,13.8296037137743
"Atg16",6.54351573040161,5.80135400273097,3.46517907081159,3.99083505422658,7.00758356647914,5.62655224107069,5.80148499910573,4.91030524847488,3.24080183209831,2.90457533049678,5.01178649323126,6.37598912577528,4.37256150121335,5.29345850305363,7.3209412049549,4.96377177244647,4.02851729715285,3.95366622686122,4.66393959732373,7.1663322440693,4.58096040352053,7.41556569463318,7.44247823882339,5.95150746534815,4.16347770751206,6.84790865764106,2.95651393500217,6.57820750785951,5.99514339312771,6.24018704158108
"Atg17",49.9103454730633,61.6393862790166,78.3130470003418,34.4663027410478,27.5047654984306,40.2684621174667,38.2898009940978,53.2380463782014,63.3429449001034,51.7444716284797,23.9023663523337,29.7546159202846,51.0132175141557,37.7158918342571,63.7790471075732,71.1909372627192,42.8749340911267,38.7714365472843,72.7574577182501,36.2990307145249,37.1350194413047,30.1257356344473,29.3321201177157,36.2191740034045,68.9286864910329,85.1708639294107,53.5650759988629,73.9080961177156,36.2497042375164,24.6234407586713
"Atg18a",41.4422662925436,44.0902904207554,46.8954234249835,41.1781616958834,26.8040071417827,40.4891112249596,36.0746885398938,41.8668131712069,38.005766940062,35.8230957427937,37.5883986992344,42.3431072711743,44.3983167815509,42.0829950992764,51.6188396823939,44.5433203790591,41.4361779135722,29.4611902711272,50.3705476510962,34.585342569204,40.6438401759162,40.7856113204825,40.4228720030212,36.1341524681852,42.0973857092886,47.6500310760857,46.2607474535634,47.40178939487,36.1102822981413,39.9709278068842
"Atg18b",24.7627163915198,26.8312622626307,31.5331295443854,9.97708763556646,8.23391069061299,27.9121120978605,27.4252018139544,25.1976190382264,7.21814953512806,9.68191776832261,6.55387464499472,10.9536223442806,13.4540353883488,13.7629921079394,45.6628197190407,59.957137988235,12.8528885194877,9.8203967570424,104.005853020319,7.1663322440693,7.11510871185103,10.3122710440993,10.7988899935869,11.0527995785037,22.3594173181203,61.7738426824704,17.0434332723655,68.2972720668943,7.80762860500353,9.95056852576443
"Atg3",115.858719697111,122.408569457623,88.1310543676413,85.9843552592455,88.9963112942851,111.979422052681,102.739025256891,133.353553063844,65.4052733387114,78.8538413797831,77.4899296261141,105.449050926284,81.7332649842187,92.7678602660149,143.068562869712,128.013061499935,83.5437753766698,77.1602602339045,108.825257270887,87.5538852427597,71.7358905742789,118.76491932811,109.156347502743,93.1836026003082,110.717666444209,132.820895005496,96.5214843486004,127.307662946222,88.6723534425401,120.418744532132
"Atg4a",66.589895374087,76.4328389859805,52.9017338143902,44.4433903766142,53.7832038727274,81.6401697723982,56.1161821731682,68.7442734786484,44.3400614300724,44.536821734284,53.5875632737804,77.8197647145906,46.5285390513728,55.5813142820631,87.2308757132762,75.3709555974109,52.8503102555052,39.1540494079482,77.1104680090856,60.6022444118034,52.8272455044282,78.5586490775203,76.030022792686,53.7336102585719,66.4614404421369,78.7509495628722,55.8259395962175,62.8799247074806,56.1870415681504,69.316672272698
