"logFC","logCPM","F","PValue","FDR","dmel_gene","species","tissue"
1.14625755463972,8.46028439831303,118.777857773359,2.48353030261247e-08,1.1082401094067e-06,"Nsf2","*D. simulans*","Haemocytes"
3.16558931620576,9.57139069486042,118.655418474081,2.50010564965683e-08,1.1082401094067e-06,"AANATL2","*D. simulans*","Haemocytes"
2.00341337723436,8.5235934922014,118.252575589264,2.55553719463628e-08,1.12337155847553e-06,"FER","*D. simulans*","Haemocytes"
2.31059534344073,8.24425886894264,117.346730133423,2.68537408782883e-08,1.17068994324769e-06,"CG42663","*D. simulans*","Haemocytes"
2.18279976662444,6.01856403208457,115.68418459814,2.94372682197426e-08,1.26541606340016e-06,"Cln7","*D. simulans*","Haemocytes"
1.55739118855109,10.2338861194,115.642016920643,2.95063840375771e-08,1.26541606340016e-06,"CCT5","*D. simulans*","Haemocytes"
1.98535015525187,7.08610163316027,115.286156357624,3.00970870246724e-08,1.28033979076731e-06,"CG10383","*D. simulans*","Haemocytes"
1.82258124404911,8.21611965420013,114.901637774972,3.07505589312023e-08,1.29463957376428e-06,"vimar","*D. simulans*","Haemocytes"
1.31479010090836,5.63924378168555,114.801089706049,3.09240921884928e-08,1.29463957376428e-06,"CG11396","*D. simulans*","Haemocytes"
1.93600587168187,6.20448140649456,114.176397340109,3.20275708672999e-08,1.33027902618116e-06,"fal","*D. simulans*","Haemocytes"
1.18190180644687,8.54876097733496,114.014921259202,3.23200602468221e-08,1.33193998282802e-06,"Qsox1","*D. simulans*","Haemocytes"
-2.3174589452104,11.3453042964157,112.485277814929,3.52470675710614e-08,1.44130450726627e-06,"CG10467","*D. simulans*","Haemocytes"
1.33776219012864,8.57849171545812,111.850778994559,3.654897246487e-08,1.48304484424761e-06,"Klc","*D. simulans*","Haemocytes"
3.67769622817814,10.81063944284,111.255164380521,3.78211610213599e-08,1.52295133120362e-06,"CG9338","*D. simulans*","Haemocytes"
2.73044185353599,7.4355331165332,110.840521101025,3.87366088923775e-08,1.54410055714244e-06,"bmm","*D. simulans*","Haemocytes"
2.59658438541268,8.6335257375338,110.753544221047,3.8931824473923e-08,1.54410055714244e-06,"Fim","*D. simulans*","Haemocytes"
3.16142500888895,3.51903811942621,109.623835379846,4.15719941116925e-08,1.63650946969536e-06,"CG14995","*D. simulans*","Haemocytes"
3.63912133923042,6.435773357463,108.965209749594,4.32051320369002e-08,1.67586940176825e-06,"Lac","*D. simulans*","Haemocytes"
-3.0969563718278,5.0902339965508,108.964374501195,4.32072490313709e-08,1.67586940176825e-06,"CG17110","*D. simulans*","Haemocytes"
5.04349517346724,7.68071919311854,107.735226348364,4.64547157209769e-08,1.78867609801572e-06,"Sr-CIV","*D. simulans*","Haemocytes"
2.54365654165151,5.18510278720781,106.830324029179,4.90236277899472e-08,1.87391041008675e-06,"CG43187","*D. simulans*","Haemocytes"
1.27174236755268,7.60357334386374,106.677504447731,4.9473255803973e-08,1.87749226162559e-06,"MESR3","*D. simulans*","Haemocytes"
1.38968331161741,10.2262885233837,106.440196887176,5.01808115277592e-08,1.89071780640979e-06,"CCT2","*D. simulans*","Haemocytes"
-2.38127991623069,9.38472886221822,106.321639027056,5.05386181428966e-08,1.89071780640979e-06,"CG5397","*D. simulans*","Haemocytes"
2.67460531018144,7.56871949656347,105.2035674449,5.40598163674478e-08,2.00820796717104e-06,"JhI-21","*D. simulans*","Haemocytes"
1.77013077643946,8.94591916782752,105.015779325994,5.467824632849e-08,2.01697726841108e-06,"sqh","*D. simulans*","Haemocytes"
5.98472586640119,3.59535595267298,104.840255341427,5.5263585750844e-08,2.02441260302571e-06,"Vha36-2","*D. simulans*","Haemocytes"
2.66107716396828,6.47578399627048,104.333811641307,5.69929083426746e-08,2.07281866093778e-06,"Socs36E","*D. simulans*","Haemocytes"
1.30624692734861,7.75965894225781,104.225443981328,5.73709051178986e-08,2.07281866093778e-06,"CG12007","*D. simulans*","Haemocytes"
5.16911645868468,4.28461902896193,103.784557505845,5.89384968666118e-08,2.11496987055359e-06,"CG12133","*D. simulans*","Haemocytes"
3.73611834036646,7.02822568216536,103.189931425365,6.11306293537524e-08,2.17881128270976e-06,"CG32982","*D. simulans*","Haemocytes"
4.89680700322271,3.82131707253521,102.83069095107,6.24999663446421e-08,2.20621400760829e-06,"Cyp312a1","*D. simulans*","Haemocytes"
-2.86537592815756,9.02936434071341,102.769689628669,6.27359433443115e-08,2.20621400760829e-06,"CG4950","*D. simulans*","Haemocytes"
1.20627345851275,6.77688332307453,102.332766516313,6.44561225933748e-08,2.24434988037537e-06,"CG1635","*D. simulans*","Haemocytes"
2.84382917901972,9.78311080694012,102.279044608131,6.46713140885414e-08,2.24434988037537e-06,"Vinc","*D. simulans*","Haemocytes"
1.58054239388541,5.97428148446943,101.83548258759,6.64796949708328e-08,2.2920286991578e-06,"Usp12-46","*D. simulans*","Haemocytes"
2.3215158365572,7.00206190309038,101.718240953751,6.69672648118138e-08,2.29384624598908e-06,"Ptp61F","*D. simulans*","Haemocytes"
1.25251620774758,6.49000037564386,101.588647930003,6.75109476026597e-08,2.29754999099374e-06,"CG10098","*D. simulans*","Haemocytes"
3.64893455568523,5.54282823602249,101.418305108365,6.82332558988002e-08,2.30724631324468e-06,"PLCXD","*D. simulans*","Haemocytes"
2.01571909768636,7.7013990429316,101.258134936677,6.89204714797647e-08,2.31564004494114e-06,"Mob2","*D. simulans*","Haemocytes"
1.49937064879369,10.4400586938181,101.073724116831,6.9721479828107e-08,2.32772662084345e-06,"CCT4","*D. simulans*","Haemocytes"
-1.85535745138455,10.9210159953496,100.838644958578,7.07579977022743e-08,2.34747445207231e-06,"CG14629","*D. simulans*","Haemocytes"
3.02244541121654,11.7945214246792,100.682219697716,7.14574412600738e-08,2.35435253885988e-06,"CG13117","*D. simulans*","Haemocytes"
3.82567689464188,7.63272783693789,100.593429421186,7.18579637452968e-08,2.35435253885988e-06,"tx","*D. simulans*","Haemocytes"
1.90405735804774,8.60068520342061,100.363858330093,7.29054435862278e-08,2.37392725257624e-06,"Spn55B","*D. simulans*","Haemocytes"
1.8131100157788,5.18725622873101,99.9563020172686,7.48081853487202e-08,2.42093974057975e-06,"pasi2","*D. simulans*","Haemocytes"
3.64383990346634,7.78142782402955,99.8432236074344,7.53460942491456e-08,2.42347955587953e-06,"CG12991","*D. simulans*","Haemocytes"
1.70508672837409,6.72887123674492,99.6585529339152,7.62340684003532e-08,2.43459944526222e-06,"Papss","*D. simulans*","Haemocytes"
-2.78558054794399,13.2190619039294,99.5801050460615,7.66148830167827e-08,2.43459944526222e-06,"FBgn0196725","*D. simulans*","Haemocytes"
-1.8494207297185,9.33797707128175,99.454044546029,7.7231375887692e-08,2.439494058728e-06,"Aldh7A1","*D. simulans*","Haemocytes"
1.83183707287141,7.12102641766088,98.0405511234721,8.45454379396822e-08,2.65462610197514e-06,"NK7.1","*D. simulans*","Haemocytes"
2.13280693597052,5.48666456452793,97.9113359370204,8.52525429181612e-08,2.65562891696891e-06,"Pkc98E","*D. simulans*","Haemocytes"
2.23811308884021,10.068341022505,97.8511405860862,8.55842494568179e-08,2.65562891696891e-06,"Esyt2","*D. simulans*","Haemocytes"
2.91982784710321,7.19837191760521,97.5798574182212,8.70975208042114e-08,2.6867802470305e-06,"hppy","*D. simulans*","Haemocytes"
1.30531010011346,4.77750549821071,95.7024196055803,9.84467054396055e-08,3.01922308833674e-06,"CG1812","*D. simulans*","Haemocytes"
-3.03948034686536,7.07764680430191,95.4573952802747,1.00048653104102e-07,3.05061644580427e-06,"CG18747","*D. simulans*","Haemocytes"
2.47259205748176,10.8438352588998,95.2655667263456,1.0132355759772e-07,3.06184725184632e-06,"Myo31DF","*D. simulans*","Haemocytes"
1.63461756499304,7.83413047229245,95.2276305070647,1.01577870914333e-07,3.06184725184632e-06,"egr","*D. simulans*","Haemocytes"
1.35367577365388,6.68966261557702,94.3115630817713,1.07945421415245e-07,3.23529601116714e-06,"Orai","*D. simulans*","Haemocytes"
2.25052897913597,10.9170330562595,93.9494140818536,1.10587246102561e-07,3.28498018653333e-06,"CG31729","*D. simulans*","Haemocytes"
3.50136381619822,5.89185101002522,93.9080980109108,1.10893295909032e-07,3.28498018653333e-06,"Gdap1","*D. simulans*","Haemocytes"
3.62304988656585,3.88247749550859,93.8304131486875,1.11471365571463e-07,3.28498018653333e-06,"CG18130","*D. simulans*","Haemocytes"
2.52376508833869,9.42030216834257,93.702078746535,1.1243386734303e-07,3.29493694574713e-06,"Gapvd1","*D. simulans*","Haemocytes"
4.04348152770207,9.82785602843235,93.6092716363915,1.13135817719825e-07,3.29719026780154e-06,"sn","*D. simulans*","Haemocytes"
1.86128849000075,7.1286423260591,92.87156147869,1.18896621728327e-07,3.44604219569739e-06,"Ctl2","*D. simulans*","Haemocytes"
-3.36518653275057,6.21061841230032,92.440443666392,1.2241769546543e-07,3.52243296930755e-06,"CG10877","*D. simulans*","Haemocytes"
4.05636092644234,10.1114914467723,92.3863528521022,1.22867804047884e-07,3.52243296930755e-06,"plx","*D. simulans*","Haemocytes"
1.38557195882795,10.816307831669,92.187339071247,1.24540177482951e-07,3.53698188544725e-06,"CCT6","*D. simulans*","Haemocytes"
2.97325681507456,5.08130520779111,92.16655444083,1.24716328093495e-07,3.53698188544725e-06,"Trxr-1","*D. simulans*","Haemocytes"
1.49805220703074,6.28804000346555,91.7554072309099,1.282598505371e-07,3.61802519563209e-06,"CG32428","*D. simulans*","Haemocytes"
1.29430269960792,7.44132464085931,91.5661033032225,1.29929863635602e-07,3.64563846105212e-06,"CG14043","*D. simulans*","Haemocytes"
1.67875133607648,7.88546952134674,91.1950447902337,1.33275689262157e-07,3.71973153893056e-06,"CG9328","*D. simulans*","Haemocytes"
1.3184460531854,10.3315380504641,90.974984449392,1.35306306350129e-07,3.75653034735226e-06,"14-3-3epsilon","*D. simulans*","Haemocytes"
