"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
5.62854133712886,3.72974868698672,190.238957808214,8.71825845709102e-14,3.93109701653625e-12,"Or83a","Control","Fat Body"
2.27836543729118,6.32094734929592,190.123878754056,8.78148055615866e-14,3.93109701653625e-12,"CG31664","Control","Fat Body"
-1.7556728435842,4.3961292471261,188.366929343733,9.81036810108364e-14,4.35247491913255e-12,"Sec3","Control","Fat Body"
-7.68440059448531,2.71412202685218,187.874712101321,1.01213021870357e-13,4.4506858909186e-12,"CG34437","Control","Fat Body"
5.49504620661002,3.09960671437932,186.847248595541,1.08049803134677e-13,4.67953347710604e-12,"CG14275","Control","Fat Body"
-2.68233352129528,2.79842637837716,186.810876689276,1.0830073452751e-13,4.67953347710604e-12,"CG13384","Control","Fat Body"
-1.94349406801981,5.21754748072352,185.365081138499,1.18800119237827e-13,5.08894648700655e-12,"Wdfy2","Control","Fat Body"
-4.01747497605239,3.3813398691363,185.132984700914,1.20585067059076e-13,5.12125810441493e-12,"CG8908","Control","Fat Body"
3.68122874790594,5.19904940363678,184.413359949594,1.26304848958078e-13,5.31871859722617e-12,"CG8501","Control","Fat Body"
8.96958124310435,2.06129000387643,336.57490604302,1.29155217892963e-13,5.3930443505053e-12,"Cyp9b1.Cyp9b2.Dsim_GD10274","Control","Fat Body"
2.71842299917352,5.30623632644727,183.858816175609,1.30911123146508e-13,5.42081142429166e-12,"CG10208","Control","Fat Body"
3.34930710615603,3.50157663202454,183.466477007001,1.34278854802046e-13,5.51431098769723e-12,"CG13658.CG11893.CG31104.CG31300.CG31436.Dsim_GD21207","Control","Fat Body"
-3.56823871571542,8.83758610800376,181.369080717791,1.53932801964242e-13,6.26960731934687e-12,"alpha-Est7","Control","Fat Body"
-2.66180551296822,3.5446526127469,179.888258642086,1.69659368394091e-13,6.85396261422957e-12,"CG7101","Control","Fat Body"
7.15388880313715,6.65655461112296,187.845773030966,1.81132175968143e-13,7.25843372891696e-12,"Mal-A6","Control","Fat Body"
1.32887301512947,10.7255478482256,177.719954307659,1.95879665819528e-13,7.78660847565788e-12,"RpS3","Control","Fat Body"
2.01726995503339,6.158195642363,176.236634873943,2.16305955039371e-13,8.53035151262406e-12,"Rab5","Control","Fat Body"
8.88898958459451,1.90037462265136,316.621825997665,2.24879187369478e-13,8.79861954361368e-12,"CG7849","Control","Fat Body"
-1.25102240121455,5.26372460613311,175.319957910874,2.30064304427333e-13,8.84776909634511e-12,"CG2034","Control","Fat Body"
