logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
0.749223512,11.47985772,14.50198438,0.000728144,0.034987387,Glt,*D. simulans*,Fat Body
4.720106482,4.003108111,14.813165,0.000730426,0.034987387,AttA.AttB.Dsim_AttA,*D. simulans*,Fat Body
-0.39800043,6.736334048,14.48458523,0.000732528,0.034987387,Pex13,*D. simulans*,Fat Body
-0.65139695,5.429167165,14.43411315,0.000745409,0.034987387,GstE13,*D. simulans*,Fat Body
-0.658058757,7.828608705,14.43042355,0.00074636,0.034987387,sel,*D. simulans*,Fat Body
-0.540862694,4.006641818,14.40290492,0.000753496,0.03499177,IPIP,*D. simulans*,Fat Body
-0.522599549,4.858945677,14.3013087,0.000780484,0.035364365,par-6,*D. simulans*,Fat Body
1.107257415,5.674456177,14.3465616,0.000782514,0.035364365,FBgn0269890,*D. simulans*,Fat Body
-0.427772041,8.603688315,14.29251083,0.00078287,0.035364365,Grasp65,*D. simulans*,Fat Body
-0.356076771,8.578826844,14.20235236,0.000807777,0.036160772,CG31937,*D. simulans*,Fat Body
0.691529556,5.597847234,14.15308089,0.00082175,0.036457811,Ent2,*D. simulans*,Fat Body
-0.324815568,7.144534878,14.08391626,0.000841806,0.037017104,Ufd1-like,*D. simulans*,Fat Body
-0.449147808,4.798727628,14.04242839,0.000854089,0.037175496,Pex10,*D. simulans*,Fat Body
-0.293998696,6.750505715,14.02146147,0.000860371,0.037175496,CG12375,*D. simulans*,Fat Body
-0.380508753,8.163028839,13.94801551,0.00088277,0.037814537,Rpn11,*D. simulans*,Fat Body
-0.319445636,8.523656241,13.86059362,0.000910257,0.038658691,gammaCOP,*D. simulans*,Fat Body
2.794067056,3.064555143,13.87422843,0.000969735,0.040835696,CG9336,*D. simulans*,Fat Body
-0.586026432,4.694011761,13.63545096,0.000985393,0.04110173,Pyroxd1,*D. simulans*,Fat Body
0.684226815,8.164784041,13.61485058,0.000992596,0.04110173,Irp-1B,*D. simulans*,Fat Body
-0.818486374,3.997554043,13.58746143,0.00100226,0.041158908,CG14985,*D. simulans*,Fat Body
0.469356613,3.70401752,13.55588443,0.001013528,0.041280477,Met,*D. simulans*,Fat Body
0.735932838,5.541969927,13.53067411,0.001022622,0.041312259,chk,*D. simulans*,Fat Body
0.877571947,8.973583941,13.40012206,0.001071149,0.042803655,LanA,*D. simulans*,Fat Body
0.74677713,3.890980309,13.36719717,0.001083777,0.042803655,MESR4,*D. simulans*,Fat Body
