"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"CG9360.CG3301.Dsim_GD19991","Haemocytes","Control",-2.24124517005838,4.96249259921224,3.96666791571029,0.0669288574289594,0.147411157802823,-3.02714509508612,4.96249259921224,6.90655213652724,0.0202727419156102,0.0825886957570692
"CG9360.CG3301.Dsim_GD19991","Haemocytes","Response",2.12603123501754,4.96249259921224,1.87946171027137,0.192642659806662,0.495702453892753,0.742893915831876,4.96249259921224,0.238674101968073,0.632965149687616,0.904890992779831
"CG9360.CG3301.Dsim_GD19991","Haemocytes","Wasp",-0.115213935040831,4.96249259921224,0.0111948048449807,0.917284685841471,0.970738928186006,-2.28425117925425,4.96249259921224,4.20802970939422,0.0600548271558156,0.137138187552782
"CG9372","Haemocytes","Control",-0.585187388188164,9.76681932893092,11.6871320278666,0.00402571566043664,0.0163564226117786,0.735007176728897,9.76681932893092,18.3557027794943,0.000716414756260151,0.00961599959102366
"CG9372","Haemocytes","Response",0.297214233825135,9.76681932893092,1.51614582328517,0.237997014484415,0.556406591061625,0.0752753279109711,9.76681932893092,0.0972655406916026,0.759620185395343,0.940784373322202
"CG9372","Haemocytes","Wasp",-0.287973154363029,9.76681932893092,2.84185108937845,0.113444855772254,0.35583356739155,0.810282504639868,9.76681932893092,22.2316290682688,0.000310385282925851,0.00344691024722919
"CG9386","Haemocytes","Control",-0.172773409323484,4.75983264397627,1.52322554190269,0.23695716552682,0.378887253153675,0.42721705561124,4.75983264397627,9.22704654741479,0.0086581295220037,0.0476739386519515
"CG9386","Haemocytes","Response",0.201103794813738,4.75983264397627,1.02458271410033,0.328193513553115,0.647911970057141,-0.0593659753948,4.75983264397627,0.088750932693874,0.770039620249319,0.941425897350398
"CG9386","Haemocytes","Wasp",0.0283303854902539,4.75983264397627,0.0403853476287125,0.843548784686648,0.941739648512607,0.36785108021644,4.75983264397627,6.78209772313673,0.0204793877082906,0.0644178712947124
"CG9396","Haemocytes","Control",1.19833814265187,5.98811891196903,1.46075810848004,0.247447775379602,0.391155833121787,-1.39993496255298,5.98811891196903,2.05496356599994,0.174347155659116,0.34718053835479
"CG9396","Haemocytes","Response",-1.82610175992319,5.98811891196903,1.74823829096227,0.207951241545367,0.517234445338608,0.679936136086511,5.98811891196903,0.250951892539685,0.624432348183577,0.903189094822667
"CG9396","Haemocytes","Wasp",-0.627763617271313,5.98811891196903,0.425373036680088,0.525161655979236,0.78610321659775,-0.719998826466468,5.98811891196903,0.559407037679544,0.467263272798711,0.588997260442053
"CG9399","Haemocytes","Control",0.106694152351337,5.90115529583556,0.0853286161528057,0.774381519985838,0.852611671451742,-0.652439778739086,5.90115529583556,3.19727139405266,0.0948837256041997,0.230332099660448
"CG9399","Haemocytes","Response",-0.421908650330292,5.90115529583556,0.671380322179116,0.425966811892606,0.733825908796047,0.494979212843562,5.90115529583556,0.928772188947272,0.351138079593748,0.869210122827584
"CG9399","Haemocytes","Wasp",-0.315214497978955,5.90115529583556,0.754130317275057,0.399458501432814,0.698050156734468,-0.157460565895524,5.90115529583556,0.18856111717317,0.670573112670842,0.762208984893461
"CG9410","Haemocytes","Control",0.058281540834137,4.89719926083808,0.0841719393129185,0.775870431668409,0.853313046523554,0.0885968044440084,4.89719926083808,0.194651088344413,0.665646281146292,0.80570998922595
